Month,Day,Hour,Time (Hours),Loading (W) (Extraction)
2,7,14,901,0.0
2,7,15,902,0.0
2,7,16,903,0.0
2,7,17,904,0.0
2,7,18,905,0.0
2,7,19,906,0.0
2,7,20,907,0.0
2,7,21,908,0.0
2,7,22,909,0.0
2,7,23,910,0.0
2,7,24,911,0.0
2,8,1,912,0.0
2,8,2,913,0.0
2,8,3,914,0.0
2,8,4,915,0.0
2,8,5,916,0.0
2,8,6,917,0.0
2,8,7,918,0.0
2,8,8,919,0.0
2,8,9,920,0.0
2,8,10,921,0.0
2,8,11,922,-56251.93996
2,8,12,923,-58108.98291
2,8,13,924,0.0
2,8,14,925,0.0
2,8,15,926,0.0
2,8,16,927,0.0
2,8,17,928,0.0
2,8,18,929,0.0
2,8,19,930,0.0
2,8,20,931,0.0
2,8,21,932,0.0
2,8,22,933,0.0
2,8,23,934,0.0
2,8,24,935,0.0
2,9,1,936,0.0
2,9,2,937,0.0
2,9,3,938,0.0
2,9,4,939,0.0
2,9,5,940,0.0
2,9,6,941,0.0
2,9,7,942,0.0
2,9,8,943,0.0
2,9,9,944,0.0
2,9,10,945,0.0
2,9,11,946,-105140.7958
2,9,12,947,36190.17109
2,9,13,948,15553.23983
2,9,14,949,26568.05198
2,9,15,950,11808.58339
2,9,16,951,7858.821654
2,9,17,952,3562.776603
2,9,18,953,-311.4981865
2,9,19,954,-2703.223361
2,9,20,955,879.6254147
2,9,21,956,-1381.989128
2,9,22,957,1834.901655
2,9,23,958,-19807.5495
2,9,24,959,-19953.31177
2,10,1,960,-24714.5463
2,10,2,961,-12181.11144
2,10,3,962,-37190.49273
2,10,4,963,-14544.50822
2,10,5,964,-8364.502947
2,10,6,965,-18348.76668
2,10,7,966,11376.35899
2,10,8,967,17896.52762
2,10,9,968,29749.89446
2,10,10,969,24042.17694
2,10,11,970,16389.20579
2,10,12,971,-53728.99192
2,10,13,972,12996.94089
2,10,14,973,13365.02793
2,10,15,974,15418.03645
2,10,16,975,9942.512468
2,10,17,976,8709.871089
2,10,18,977,13117.07889
2,10,19,978,374.6465678
2,10,20,979,698.498076
2,10,21,980,3115.008008
2,10,22,981,12293.93176
2,10,23,982,-18676.21529
2,10,24,983,-31559.72553
2,11,1,984,-18383.95825
2,11,2,985,-21835.83819
2,11,3,986,-40970.82721
2,11,4,987,-24042.10964
2,11,5,988,0.0
2,11,6,989,0.0
2,11,7,990,0.0
2,11,8,991,0.0
2,11,9,992,0.0
2,11,10,993,0.0
2,11,11,994,6436.491797
2,11,12,995,20127.60253
2,11,13,996,-4467.250463
2,11,14,997,-5150.775428
2,11,15,998,7254.042684
2,11,16,999,-4471.899099
2,11,17,1000,-1731.002349
2,11,18,1001,-2279.021173
2,11,19,1002,4274.194758
2,11,20,1003,-7792.793979
2,11,21,1004,-11294.16159
2,11,22,1005,5863.796222
2,11,23,1006,-33133.3966
2,11,24,1007,-10778.45819
2,12,1,1008,-24167.77828
2,12,2,1009,-22242.38918
2,12,3,1010,-23153.24504
2,12,4,1011,-9761.538044
2,12,5,1012,-23046.49888
2,12,6,1013,-9782.563786
2,12,7,1014,13841.88624
2,12,8,1015,25841.49737
2,12,9,1016,-498.1997848
2,12,10,1017,200.4871965
2,12,11,1018,6178.693701
2,12,12,1019,-6004.444681
2,12,13,1020,-13072.2745
2,12,14,1021,-12626.4086
2,12,15,1022,-12850.36467
2,12,16,1023,-2871.462561
2,12,17,1024,4214.859882
2,12,18,1025,16898.61472
2,12,19,1026,-2747.608841
2,12,20,1027,-2156.653635
2,12,21,1028,-26050.9444
2,12,22,1029,-14571.40137
2,12,23,1030,-14790.57057
2,12,24,1031,-24230.31936
